date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:13	13996/13996	---M--	200	added ('OK')	image/png	etag:%22180c91226b2560a1c419992655787640%22	https://infludeo-post.s3.amazonaws.com/staticfiles/img/logo/logo_new_m.png	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/img/logo/logo_new_m.png	(from )
19:28:13	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2014%20May%202021%2010:28:08%20GMT	http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/blog/lang/en?next=/main	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/blog/lang/en.19eb49.delayed	(from )
19:28:13	397873/397873	---M--	200	added ('OK')	text/css	etag:%22aa8a6a57dcef6d9a80c56ac77d919bc2%22	https://infludeo-post.s3.amazonaws.com/staticfiles/css/unify-globals.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/css/unify-globals.css	(from )
19:28:13	0/0	---M--	302	error ('')			http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/blog/lang/None	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/blog/lang/None.1a.delayed	(from )
19:28:13	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2014%20May%202021%2010:28:09%20GMT	http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/payment/credit	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/payment/credit.1c.delayed	(from )
19:28:15	9693/9693	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20May%202021%2010:28:10%20GMT	http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/jongup	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/jongup.1e.delayed	(from )
19:28:15	0/0	---M--	404	error ('')			http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/jongup	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/jongup.20.delayed	(from )
19:28:17	9693/9693	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20May%202021%2010:28:12%20GMT	http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/dreamnote	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/dreamnote.23.delayed	(from )
19:28:17	0/0	---M--	404	error ('')			http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/dreamnote	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/dreamnote.25.delayed	(from )
19:28:21	642412/642412	---M--	200	added ('OK')	text/css	etag:%22bde6b9b1ea7ca1c714ad2f24d56dd9ad%22	https://infludeo-post.s3.amazonaws.com/staticfiles/css/unify-components.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/css/unify-components.css	(from )
19:28:22	9693/9693	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20May%202021%2010:28:18%20GMT	http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/ailee	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/ailee.28.delayed	(from )
19:28:22	0/0	---M--	404	error ('')			http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/ailee	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/ailee.2a.delayed	(from )
